Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,17.478582,-1.0203,0.2772,0.4977,1135.27,0.0
2,8192,16.790357,1.2266,0.1430,0.4154,585.92,0.0
3,12288,16.488492,0.5968,0.1797,0.4316,735.92,0.0
4,16384,16.199056,0.6325,0.2190,0.5115,897.20,0.0
5,20480,16.528796,0.5180,0.2189,0.4615,896.47,0.0
6,24576,16.285190,1.0617,0.2266,0.4953,928.02,0.0
7,28672,16.556280,0.1465,0.2361,0.4781,967.00,0.0
8,32768,16.428831,0.5649,0.2699,0.5235,1105.43,0.0
9,36864,15.793184,0.7745,0.2513,0.5151,1029.47,0.0
10,40960,16.104172,0.4004,0.2765,0.4950,1132.45,0.0
11,45056,16.022253,0.7125,0.3140,0.5494,1286.10,0.0
12,49152,16.180776,1.3961,0.3054,0.5149,1250.85,0.0
13,53248,16.269660,1.0857,0.2969,0.5448,1216.23,0.0
14,57344,15.989163,1.0737,0.3292,0.5843,1348.32,0.0
15,61440,16.096569,0.4727,0.3386,0.5511,1387.10,0.0
16,65536,16.173334,1.3963,0.3344,0.5533,1369.50,0.0
17,69632,16.550586,1.3365,0.3899,0.5808,1597.12,0.0
18,73728,15.918171,0.9446,0.3686,0.5689,1509.75,0.0
19,77824,16.309398,1.0493,0.3796,0.5475,1555.03,0.0
20,81920,15.848320,1.2345,0.3437,0.5542,1407.65,0.0
21,86016,16.012196,0.6142,0.3642,0.5857,1491.82,0.0
22,90112,15.883309,1.2386,0.3633,0.5864,1488.05,0.0
23,94208,15.843945,1.1739,0.3774,0.5680,1545.87,0.0
24,98304,16.003935,1.6304,0.3371,0.5806,1380.62,0.0
25,102400,16.040123,0.8436,0.3790,0.5957,1552.35,0.0
26,106496,15.808508,1.2591,0.3861,0.5576,1581.43,0.0
27,110592,15.770602,1.3712,0.3901,0.5526,1598.03,0.0
28,114688,15.908365,0.9763,0.4064,0.5597,1664.60,0.0
29,118784,15.747866,1.4046,0.3493,0.5921,1430.93,0.0
30,122880,15.822336,0.9387,0.3855,0.5751,1578.82,0.0
31,126976,15.811813,0.7959,0.3719,0.5854,1523.38,0.0
32,131072,15.748365,1.0244,0.4157,0.5822,1702.68,0.0
33,135168,15.708783,1.2864,0.4123,0.5600,1688.62,0.0
34,139264,15.879392,0.9719,0.4133,0.5635,1692.98,0.0
35,143360,15.789982,0.9510,0.4227,0.5933,1731.23,0.0
36,147456,15.982531,1.3604,0.3479,0.5573,1424.88,0.0
37,151552,16.051016,0.7843,0.3460,0.5469,1417.02,0.0
38,155648,16.079412,0.9157,0.3516,0.5378,1440.32,0.0
39,159744,16.012858,0.7479,0.3224,0.5503,1320.68,0.0
40,163840,15.926116,0.8995,0.3951,0.5658,1618.17,0.0
41,167936,15.697280,0.4611,0.2847,0.5113,1166.27,0.0
42,172032,16.019727,0.7097,0.2991,0.5444,1225.07,0.0
43,176128,16.067730,0.6086,0.2183,0.5075,894.05,0.0
44,180224,16.123211,0.6199,0.2191,0.4781,897.30,0.0
45,184320,16.221044,0.5705,0.3364,0.5406,1377.72,0.0
46,188416,16.050730,1.0322,0.3743,0.5693,1533.28,0.0
47,192512,16.034149,0.9105,0.2921,0.5427,1196.62,0.0
48,196608,16.140764,0.4256,0.3360,0.5329,1376.25,0.0
49,200704,16.311821,0.8086,0.2529,0.4996,1035.93,0.0
50,204800,16.509721,0.7930,0.2996,0.5216,1227.02,0.0
51,208896,16.263636,0.8458,0.3310,0.5471,1355.97,0.0
52,212992,16.244761,0.8395,0.2861,0.5529,1171.82,0.0
53,217088,16.725718,0.8508,0.3617,0.5365,1481.50,0.0
54,221184,16.163875,0.8388,0.3915,0.5868,1603.77,0.0
55,225280,16.273800,0.9761,0.4285,0.5765,1755.25,0.0
56,229376,16.552218,1.5313,0.4162,0.5535,1704.62,0.0
57,233472,16.372815,1.1426,0.3767,0.5698,1543.10,0.0
58,237568,16.218616,1.0252,0.4464,0.5621,1828.45,0.0
59,241664,16.335251,1.0091,0.4456,0.6002,1825.03,0.0
60,245760,16.842988,0.6221,0.4674,0.5906,1914.43,0.0
61,249856,16.558390,1.1337,0.4673,0.5759,1914.20,2.75
62,253952,16.301875,1.2790,0.3684,0.5868,1509.00,0.0
63,258048,16.185984,1.2909,0.4760,0.5846,1949.60,0.0
64,262144,16.162924,1.4252,0.3694,0.5950,1512.88,0.0
65,266240,16.188748,0.7681,0.3998,0.5826,1637.75,0.0
66,270336,16.138139,1.1378,0.4299,0.5701,1760.96,2.75
67,274432,16.198169,1.4420,0.4126,0.5822,1689.88,0.0
68,278528,16.170658,1.4846,0.4370,0.5988,1789.85,0.0
69,282624,16.298540,0.9738,0.4265,0.5807,1746.78,0.0
70,286720,16.130298,0.8232,0.4211,0.6082,1725.00,0.0
71,290816,16.306588,0.7561,0.4152,0.5597,1700.62,2.75
72,294912,16.353379,0.7705,0.4693,0.5607,1922.26,0.0
73,299008,16.234487,1.4568,0.4724,0.5571,1934.95,0.0
74,303104,16.426413,1.0203,0.4566,0.5845,1870.25,0.0
75,307200,16.499192,1.2458,0.4696,0.5743,1923.32,0.0
76,311296,16.282563,0.8409,0.4344,0.5939,1779.33,0.0
77,315392,15.844110,0.5945,0.4776,0.5795,1956.20,0.0
78,319488,15.899743,1.1153,0.4670,0.5589,1912.69,2.75
79,323584,15.876567,1.3804,0.4634,0.5933,1898.25,0.0
80,327680,15.856843,1.0241,0.4404,0.5412,1803.90,0.0
81,331776,15.855354,0.6408,0.3061,0.5272,1253.80,2.75
82,335872,15.975525,1.5616,0.3477,0.5367,1424.03,0.0
83,339968,15.763763,0.8131,0.3467,0.5020,1420.25,5.375
84,344064,15.856358,0.6640,0.3016,0.5034,1235.44,2.75
85,348160,16.062117,1.1662,0.3168,0.5395,1297.50,0.0
86,352256,15.928256,0.4515,0.3321,0.5506,1360.25,0.0
87,356352,16.177603,0.5718,0.3452,0.5230,1414.01,2.75
88,360448,16.011379,1.1392,0.3050,0.5449,1249.28,0.0
89,364544,15.960477,1.0581,0.4404,0.5812,1804.07,2.75
90,368640,15.909079,0.9135,0.4172,0.5658,1709.04,0.0
91,372736,16.009814,1.0454,0.4589,0.5992,1879.78,0.0
92,376832,15.973007,1.3953,0.5109,0.5832,2092.80,0.0
93,380928,15.863334,1.2709,0.4243,0.5785,1737.82,2.75
94,385024,15.865461,1.0528,0.4391,0.5835,1798.70,0.0
95,389120,16.064785,0.9544,0.4181,0.5778,1712.43,2.625
96,393216,15.898975,0.9585,0.3836,0.5602,1571.10,0.0
97,397312,15.866048,0.8751,0.4242,0.5798,1737.65,0.0
98,401408,15.794004,0.8341,0.3681,0.5757,1507.90,0.0
99,405504,15.760598,0.4383,0.4382,0.5685,1795.00,0.0
100,409600,15.937136,0.6651,0.4903,0.5961,2008.07,0.0
101,413696,16.017272,1.1770,0.4720,0.6077,1933.20,0.0
102,417792,15.984970,1.0902,0.4799,0.5903,1965.55,0.0
103,421888,16.060103,0.9775,0.4926,0.5836,2017.50,2.625
104,425984,15.791389,1.3492,0.4414,0.5710,1808.10,0.0
105,430080,16.010687,0.8399,0.4217,0.6240,1727.43,0.0
106,434176,15.859123,0.9486,0.4822,0.5848,1975.00,0.0
107,438272,16.007261,1.1846,0.4635,0.5744,1898.55,2.75
108,442368,15.771646,0.7340,0.4672,0.5685,1913.68,0.0
109,446464,16.085944,0.8714,0.4761,0.5514,1949.95,2.625
110,450560,16.216348,0.9400,0.3901,0.5814,1597.75,0.0
111,454656,15.949507,1.0117,0.3718,0.5468,1523.09,2.625
112,458752,16.059685,0.7383,0.4223,0.5635,1729.62,0.0
113,462848,15.939292,0.8941,0.4311,0.5764,1765.80,0.0
114,466944,16.139539,0.8175,0.4634,0.5381,1898.14,5.5
115,471040,15.874057,1.0816,0.4521,0.5639,1851.97,0.0
116,475136,16.225318,1.0452,0.4069,0.6047,1666.82,0.0
117,479232,15.974513,1.3500,0.4543,0.5898,1860.90,0.0
118,483328,16.124207,0.9682,0.4851,0.5822,1987.01,2.75
119,487424,15.931939,0.8607,0.4385,0.5538,1796.03,0.0
120,491520,16.046094,1.0424,0.4586,0.5727,1878.30,0.0
121,495616,16.191224,0.9537,0.5047,0.5634,2067.20,2.625
122,499712,16.066822,0.7904,0.3777,0.5372,1547.07,0.0
123,503808,16.073402,0.9414,0.4057,0.5515,1661.79,2.75
