Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,75.424010,2.1382,0.0000,0.0000,0.00,0.0
2,8192,77.717002,-0.0162,0.0000,0.0000,0.00,0.0
3,12288,74.425692,-0.7670,0.1791,0.3477,733.40,0.0
4,16384,73.263308,0.9749,0.1067,0.3028,437.03,0.0
5,20480,72.845734,0.6874,0.1390,0.3656,569.50,0.0
6,24576,72.855692,0.7725,0.1801,0.4265,737.60,0.0
7,28672,73.103976,0.1806,0.1528,0.3777,625.67,0.0
8,32768,72.281675,0.7162,0.2069,0.4289,847.62,0.0
9,36864,73.075913,0.3503,0.2146,0.4653,878.95,0.0
10,40960,73.544191,1.2700,0.2219,0.4429,908.83,0.0
11,45056,72.956861,0.7477,0.2831,0.4937,1159.78,0.0
12,49152,72.536751,0.4214,0.2894,0.5034,1185.55,0.0
13,53248,72.784133,1.2235,0.3113,0.5285,1275.27,2.75
14,57344,73.426534,1.4864,0.2674,0.5038,1095.18,0.0
15,61440,73.702944,0.7332,0.2711,0.5230,1110.38,0.0
16,65536,73.029209,0.9127,0.3191,0.5429,1306.88,0.0
17,69632,73.108299,1.1668,0.3878,0.5547,1588.50,0.0
18,73728,73.130463,1.8162,0.3398,0.5188,1391.62,0.0
19,77824,72.717103,1.3188,0.3439,0.5575,1408.50,0.0
20,81920,72.456528,1.5329,0.3550,0.5271,1454.10,0.0
21,86016,71.514769,1.3853,0.3802,0.5694,1557.18,0.0
22,90112,71.511486,0.8390,0.3631,0.5470,1487.25,0.0
23,94208,72.212510,1.1445,0.3461,0.5636,1417.70,0.0
24,98304,71.691849,0.5688,0.3409,0.5740,1396.40,0.0
25,102400,71.824885,0.7400,0.3633,0.5596,1488.00,0.0
26,106496,71.899615,1.6288,0.3798,0.5780,1555.48,0.0
27,110592,71.929034,0.8576,0.3434,0.5666,1406.70,0.0
28,114688,71.587153,1.4834,0.3832,0.5568,1569.57,0.0
29,118784,71.215683,0.9522,0.3684,0.5734,1508.80,0.0
30,122880,72.020659,0.7554,0.3713,0.5928,1520.67,0.0
31,126976,71.065430,1.1385,0.3637,0.5747,1489.55,0.0
32,131072,71.264179,0.4980,0.3618,0.6045,1482.05,0.0
33,135168,71.219599,0.8652,0.4025,0.5789,1648.75,0.0
34,139264,71.671072,0.9370,0.3788,0.5964,1551.45,0.0
35,143360,71.525428,1.1048,0.3526,0.5740,1444.45,0.25
36,147456,71.716792,0.9557,0.3763,0.5829,1541.46,2.375
37,151552,71.342357,0.6783,0.3741,0.5995,1532.18,0.0
38,155648,71.225351,0.9714,0.3599,0.5833,1474.32,0.0
39,159744,71.168454,1.1429,0.3856,0.5993,1579.57,0.0
40,163840,71.155076,1.1425,0.3638,0.5582,1489.97,0.0
41,167936,70.987694,1.1340,0.3610,0.5986,1478.65,0.0
42,172032,70.394754,1.4389,0.3666,0.5955,1501.65,0.0
43,176128,71.032237,0.6416,0.3945,0.6052,1615.97,0.0
44,180224,71.633121,1.1215,0.4140,0.5758,1695.85,0.0
45,184320,72.479867,1.1123,0.3648,0.6048,1494.15,0.0
46,188416,71.876534,0.8369,0.4152,0.5954,1700.62,0.0
47,192512,71.743043,1.5586,0.3721,0.6074,1524.12,0.0
48,196608,70.431069,1.1384,0.3946,0.5933,1616.32,0.0
49,200704,72.983840,1.0251,0.3654,0.6115,1496.80,0.0
50,204800,72.552471,0.8900,0.3907,0.5748,1600.20,0.0
51,208896,71.982171,1.6759,0.3855,0.6198,1579.00,0.0
52,212992,71.857582,1.4781,0.4160,0.5992,1704.12,0.0
53,217088,72.771144,1.1857,0.4352,0.5741,1782.60,0.0
54,221184,72.776443,0.9645,0.3583,0.5748,1467.50,0.0
55,225280,72.824235,1.1660,0.3691,0.5592,1511.65,0.0
56,229376,71.940543,0.7958,0.3667,0.5850,1502.05,0.0
57,233472,71.905874,0.6221,0.3752,0.5892,1536.88,0.0
58,237568,71.726722,1.3751,0.3730,0.5721,1527.90,0.0
59,241664,72.263525,0.9116,0.3956,0.5736,1620.23,2.75
60,245760,71.562841,1.0874,0.3279,0.5592,1343.04,0.0
61,249856,72.388866,0.8967,0.4074,0.6126,1668.82,0.0
62,253952,71.306091,0.9530,0.4429,0.5759,1813.95,0.0
63,258048,73.015972,1.1040,0.4132,0.5924,1692.28,0.0
64,262144,72.242486,0.8870,0.4092,0.5845,1676.22,0.0
65,266240,71.957539,1.0515,0.4399,0.5495,1801.69,2.625
66,270336,71.535168,0.6570,0.4176,0.5840,1710.56,0.0
67,274432,72.395652,1.2229,0.4624,0.5562,1893.97,2.75
68,278528,71.436603,1.3111,0.3885,0.5810,1591.24,0.0
69,282624,71.977940,1.8293,0.3208,0.5620,1314.12,0.0
70,286720,73.030650,0.6274,0.3711,0.5871,1519.82,0.0
71,290816,72.500203,0.8205,0.3349,0.5705,1371.90,0.0
72,294912,72.029882,0.8407,0.4112,0.5571,1684.22,0.0
73,299008,72.035730,1.0592,0.4321,0.5783,1770.05,0.0
