Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,8192,162.174788,1.0832,0.1505,0.3109,1233.20,0.0
2,16384,176.824883,0.4478,0.0734,0.2630,601.35,0.0
3,24576,162.329956,0.5259,0.0627,0.2299,513.55,0.0
4,32768,163.049230,0.2431,0.1406,0.3574,1151.61,0.0
5,40960,178.092159,0.5379,0.1501,0.3495,1229.47,0.0
6,49152,163.328289,1.1212,0.1826,0.4077,1496.07,0.0
7,57344,181.551918,0.3836,0.1833,0.3975,1501.72,0.0
8,65536,161.796220,0.7303,0.2280,0.4197,1867.62,0.0
9,73728,172.097696,1.2733,0.2241,0.4426,1835.88,0.0
10,81920,169.935198,0.7836,0.2141,0.4299,1754.03,0.0
11,90112,162.262020,0.6231,0.2159,0.4355,1768.65,0.0
12,98304,171.023844,0.6058,0.2635,0.4843,2158.35,0.0
13,106496,163.310384,0.3501,0.2811,0.4843,2302.95,0.0
14,114688,179.962998,0.5791,0.3191,0.4893,2613.75,0.0
15,122880,164.450560,1.0650,0.3147,0.5062,2578.30,0.0
16,131072,162.876308,0.8028,0.3111,0.5484,2548.45,0.0
17,139264,174.354648,1.1217,0.3295,0.5169,2699.25,0.0
18,147456,163.065879,0.3853,0.3256,0.5111,2667.35,0.0
19,155648,173.709288,0.6052,0.3251,0.5426,2662.90,0.0
20,163840,162.565177,0.7563,0.3424,0.5215,2805.00,0.0
21,172032,164.367374,1.3201,0.3370,0.5077,2760.48,0.0
22,180224,174.323678,0.7925,0.3509,0.5287,2874.32,0.0
23,188416,163.230862,0.4590,0.3585,0.5318,2936.83,0.0
24,196608,172.525124,1.2122,0.3515,0.5276,2879.68,0.0
25,204800,161.745357,1.1009,0.3507,0.5552,2872.65,0.0
26,212992,161.931557,0.6473,0.3692,0.5490,3024.48,0.0
27,221184,178.451529,1.0936,0.3689,0.5321,3022.39,1.375
28,229376,163.338798,0.9991,0.3461,0.5535,2835.52,0.0
29,237568,180.434448,1.2149,0.3627,0.5698,2971.00,0.0
30,245760,162.356683,0.9904,0.3740,0.5565,3064.08,0.0
31,253952,173.282588,0.7110,0.3987,0.5613,3266.45,0.0
32,262144,167.982107,1.0561,0.3362,0.5543,2754.32,0.0
33,270336,163.402024,0.5791,0.3731,0.5481,3056.30,0.0
34,278528,170.823794,0.6676,0.3529,0.5610,2890.65,0.0
35,286720,162.414474,0.5199,0.3722,0.5666,3049.45,0.0
36,294912,175.847509,0.6851,0.3406,0.5593,2790.38,1.3125
37,303104,164.142736,0.6369,0.3571,0.5612,2925.23,0.0
38,311296,163.272303,1.0317,0.3653,0.5538,2992.60,0.0
39,319488,172.028212,1.0550,0.3587,0.5787,2938.18,0.0
40,327680,163.362590,0.7238,0.4105,0.5611,3362.90,0.0
41,335872,175.429237,0.8070,0.3890,0.5833,3186.73,0.0
42,344064,163.245929,0.8116,0.3954,0.5798,3238.80,0.0
43,352256,162.685159,1.0346,0.3875,0.5886,3174.45,0.0
44,360448,171.443282,1.4653,0.3703,0.5926,3033.12,0.0
45,368640,163.326712,0.9008,0.3932,0.5765,3221.40,0.0
46,376832,172.861076,0.6685,0.3967,0.5955,3250.10,0.0
47,385024,161.529341,0.7619,0.3844,0.5853,3148.93,0.0
48,393216,169.517241,0.6713,0.4244,0.5872,3476.57,0.0
49,401408,164.923412,1.0553,0.4060,0.5765,3326.12,0.0
50,409600,163.342297,0.7315,0.4440,0.5708,3637.30,0.0
51,417792,176.054338,1.1226,0.3965,0.5766,3248.25,0.0
52,425984,162.232068,1.1663,0.4079,0.5660,3341.45,0.0
53,434176,169.690053,0.8253,0.3989,0.5754,3267.55,0.0
54,442368,163.826925,0.5591,0.4248,0.5699,3479.90,0.0
55,450560,161.962250,0.6842,0.4305,0.5788,3526.50,1.3125
