Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
94,385024,96.221645,0.4824,0.3717,0.5187,1522.64,2.75
95,389120,95.829476,0.6778,0.3529,0.5386,1445.40,0.0
96,393216,96.370568,0.2729,0.3787,0.5139,1551.35,2.75
97,397312,93.961545,0.7339,0.3784,0.5421,1550.02,0.0
98,401408,91.539735,0.7774,0.4796,0.5428,1964.60,0.0
99,405504,91.192642,0.7540,0.4780,0.5183,1957.99,5.375
100,409600,90.822042,0.8404,0.4420,0.5544,1810.62,0.0
101,413696,92.227405,0.6028,0.4904,0.5596,2008.62,0.0
102,417792,91.665250,0.4661,0.4942,0.5374,2024.21,2.75
103,421888,90.893979,0.6316,0.3967,0.5280,1625.06,2.625
104,425984,95.416519,0.5261,0.5165,0.5453,2115.65,0.0
105,430080,96.135404,1.0766,0.5485,0.5660,2246.48,0.0
106,434176,96.926122,1.1149,0.5097,0.5595,2087.62,0.0
107,438272,96.109554,0.8736,0.5631,0.5562,2306.48,0.0
108,442368,95.319230,0.4456,0.4727,0.5504,1936.20,2.75
109,446464,92.766711,0.6228,0.4187,0.5496,1714.90,0.0
110,450560,92.130520,0.4858,0.4517,0.5408,1850.05,0.0
111,454656,92.849637,0.9261,0.4446,0.5332,1821.08,2.75
112,458752,91.495090,0.6949,0.4449,0.5225,1822.19,2.625
113,462848,91.305944,0.6549,0.4608,0.5509,1887.56,2.75
114,466944,91.122863,1.0208,0.3963,0.5149,1623.31,2.625
115,471040,91.293010,0.5454,0.4361,0.5196,1786.15,2.75
116,475136,90.758156,0.8550,0.3389,0.5090,1388.32,2.75
117,479232,92.917076,0.6986,0.3828,0.5087,1567.92,2.75
118,483328,92.163738,0.4281,0.3948,0.5185,1616.97,0.0
119,487424,91.632558,1.2167,0.4387,0.5371,1797.07,0.0
120,491520,92.497890,0.6421,0.3896,0.5188,1595.84,5.25
121,495616,96.628857,0.7658,0.3701,0.5180,1515.82,0.0
122,499712,96.774867,0.4456,0.4623,0.5206,1893.53,5.375
123,503808,96.280613,0.5653,0.3516,0.4531,1440.35,8.0
124,507904,97.282305,0.4170,0.3358,0.4957,1375.60,2.625
125,512000,94.778714,0.8639,0.3876,0.5236,1587.49,2.75
126,516096,90.924749,0.4738,0.4118,0.5361,1686.88,0.0
127,520192,90.763026,1.0187,0.4813,0.5418,1971.32,0.0
128,524288,90.815116,0.9156,0.4546,0.5590,1862.16,2.75
129,528384,93.800952,0.8606,0.5315,0.5619,2177.12,0.0
130,532480,96.021995,1.0574,0.5991,0.5435,2453.90,0.0
131,536576,96.527676,1.0523,0.4812,0.5239,1971.01,5.375
132,540672,97.162373,0.8520,0.3740,0.5417,1531.84,2.75
133,544768,96.084557,0.8515,0.4792,0.5435,1962.82,0.0
134,548864,93.249637,1.1147,0.5144,0.5417,2106.90,0.0
135,552960,92.366968,0.8609,0.4434,0.5340,1816.21,2.625
136,557056,95.233315,0.5406,0.5040,0.5382,2064.52,2.75
137,561152,96.577189,0.4918,0.4687,0.5194,1919.90,8.0
138,565248,97.039900,0.8576,0.4119,0.5471,1686.95,0.0
139,569344,96.557292,0.5930,0.5073,0.5660,2078.00,0.0
140,573440,95.767282,0.6888,0.4373,0.5298,1791.15,2.75
141,577536,93.474198,0.6226,0.4793,0.5528,1963.23,0.0
142,581632,91.204499,0.9578,0.5280,0.5496,2162.85,0.0
143,585728,93.655153,0.9068,0.5111,0.5556,2093.40,2.75
144,589824,96.243475,0.3713,0.4552,0.5322,1864.30,5.375
145,593920,96.924054,0.3928,0.4215,0.4937,1726.28,6.75
146,598016,96.452585,0.3821,0.3366,0.4719,1378.70,4.875
147,602112,96.411749,0.6412,0.3679,0.5064,1506.93,2.0
148,606208,92.093834,0.5577,0.4284,0.5431,1754.93,2.625
149,610304,91.981627,0.5663,0.3724,0.5364,1525.22,0.0
150,614400,94.963838,0.3988,0.4704,0.5420,1926.89,2.625
151,618496,96.120311,0.7965,0.3959,0.5097,1621.50,8.5
152,622592,96.372265,0.5451,0.3431,0.4860,1405.46,2.125
153,626688,96.639028,1.0675,0.5902,0.5304,2417.32,2.75
154,630784,96.767009,0.7496,0.3846,0.5000,1575.31,8.125
155,634880,93.005957,0.5779,0.3780,0.4928,1548.28,5.375
156,638976,91.681931,0.8719,0.4169,0.5340,1707.60,0.0
157,643072,91.796448,0.6041,0.4375,0.5179,1792.10,8.125
158,647168,90.816397,0.7608,0.4471,0.5177,1831.41,2.75
159,651264,92.546721,0.4132,0.3497,0.4865,1432.55,8.0
160,655360,91.822270,1.0474,0.4784,0.5624,1959.37,2.625
161,659456,90.871126,1.3882,0.5061,0.5560,2072.93,0.0
162,663552,94.983191,0.2145,0.5893,0.5137,2413.75,8.0
163,667648,96.630134,0.9451,0.4059,0.5268,1662.41,2.75
164,671744,95.804387,0.8454,0.5364,0.5580,2197.23,0.0
165,675840,96.480165,0.4280,0.4873,0.4823,1995.86,10.625
166,679936,96.295471,0.6157,0.3518,0.4899,1441.16,5.375
167,684032,92.235655,1.1316,0.4921,0.5224,2015.70,7.875
168,688128,91.415070,0.3057,0.4269,0.4980,1748.40,8.125
169,692224,94.306853,0.6956,0.3323,0.5023,1361.25,2.75
170,696320,96.552070,0.4515,0.4939,0.5349,2023.01,5.25
171,700416,95.763089,0.7250,0.4730,0.5307,1937.45,5.5
172,704512,97.467381,0.6006,0.5274,0.5153,2160.10,5.5
173,708608,96.806866,0.8666,0.5259,0.5247,2154.00,6.25
174,712704,92.946905,0.8710,0.3275,0.5005,1341.29,7.25
175,716800,90.927789,0.8038,0.5674,0.5421,2324.14,5.5
176,720896,96.627747,0.9448,0.4601,0.5534,1884.39,2.75
177,724992,95.671562,0.3841,0.5791,0.5165,2372.12,2.625
178,729088,97.184969,0.6939,0.4211,0.5415,1724.88,5.5
179,733184,95.998993,0.8571,0.5814,0.5554,2381.40,0.0
180,737280,96.364517,0.7827,0.6351,0.5214,2601.30,2.75
181,741376,90.676378,0.6218,0.3993,0.5147,1635.56,8.25
182,745472,90.987806,0.9086,0.4153,0.5181,1700.99,7.875
183,749568,94.894365,0.8893,0.4606,0.5520,1886.74,0.0
184,753664,97.836883,0.6039,0.4775,0.5607,1956.04,2.75
185,757760,96.056857,0.7447,0.4878,0.5274,1998.05,0.0
186,761856,95.958553,0.5677,0.4810,0.5169,1970.32,8.125
187,765952,95.281133,0.6266,0.4834,0.5410,1980.03,2.75
188,770048,91.917021,0.8549,0.5207,0.5350,2132.96,5.25
189,774144,91.817536,0.7738,0.5533,0.5584,2266.14,2.625
190,778240,95.904022,0.7772,0.4590,0.5338,1880.04,8.25
191,782336,95.306307,0.8277,0.4662,0.5469,1909.39,2.75
192,786432,96.698703,0.5262,0.5317,0.5114,2177.82,8.0
193,790528,97.589945,1.0083,0.4642,0.5412,1901.56,2.75
194,794624,93.791071,1.1223,0.5480,0.5417,2244.65,2.75
195,798720,90.793366,1.0040,0.5332,0.5593,2183.98,0.0
196,802816,91.615584,0.7225,0.5941,0.5677,2433.25,0.0
197,806912,91.529167,0.2862,0.4728,0.5048,1936.71,10.75
198,811008,91.064615,0.7567,0.5067,0.5556,2075.60,2.625
199,815104,92.470553,1.1414,0.5607,0.5421,2296.77,2.75
200,819200,91.292799,0.3786,0.5620,0.5524,2301.96,2.625
201,823296,91.372370,1.0530,0.6103,0.5643,2499.82,0.0
202,827392,91.235385,0.7415,0.5288,0.5530,2165.80,5.5
203,831488,91.599286,0.6289,0.5345,0.5421,2189.16,5.25
204,835584,91.143145,0.9889,0.5284,0.5413,2164.46,2.625
205,839680,91.711628,0.9220,0.5150,0.5664,2109.52,0.0
206,843776,91.443696,0.6665,0.5579,0.5338,2285.29,4.375
207,847872,91.348563,0.9786,0.4608,0.5294,1887.60,6.5
208,851968,90.690802,0.4381,0.4502,0.5162,1844.07,8.125
209,856064,93.591371,0.5067,0.3194,0.4762,1308.39,5.5
210,860160,95.608173,0.1345,0.2697,0.4456,1104.71,2.625
211,864256,95.569076,0.5183,0.2790,0.4622,1142.89,5.375
212,868352,96.281619,0.5400,0.3222,0.4637,1319.75,2.75
213,872448,96.815098,0.6740,0.2271,0.4609,930.15,5.25
214,876544,94.495481,0.6046,0.4593,0.5610,1881.40,0.0
215,880640,91.257801,0.7205,0.6091,0.5261,2495.02,3.375
216,884736,90.349907,0.5317,0.4702,0.5523,1926.11,4.75
217,888832,92.577307,0.7605,0.3364,0.4884,1377.89,15.375
218,892928,94.305160,0.8010,0.4010,0.5273,1642.32,1.125
219,897024,95.630721,0.6418,0.4926,0.5188,2017.74,8.125
220,901120,95.531874,0.4690,0.5518,0.5006,2260.21,5.375
221,905216,97.453212,0.7008,0.3571,0.4819,1462.80,10.875
222,909312,96.355781,0.6736,0.5282,0.5298,2163.43,8.125
223,913408,94.838829,0.3441,0.5126,0.5113,2099.60,10.75
224,917504,91.678326,0.3458,0.3423,0.4946,1402.06,5.5
225,921600,91.218732,1.1476,0.5820,0.5424,2383.75,2.625
226,925696,95.217261,0.5463,0.4192,0.4943,1716.94,10.75
227,929792,95.656065,0.7199,0.4044,0.5431,1656.35,5.5
228,933888,95.556358,0.7366,0.5530,0.5804,2265.05,0.0
229,937984,95.964800,0.3812,0.5391,0.5228,2208.25,8.25
230,942080,96.432613,0.8737,0.5317,0.5819,2178.00,0.0
231,946176,91.894218,0.6684,0.5638,0.5234,2309.21,5.5
232,950272,91.415742,0.6349,0.3414,0.4999,1398.50,10.875
233,954368,96.016823,1.2297,0.5753,0.5472,2356.23,0.5
234,958464,96.367190,0.7974,0.5115,0.5442,2095.27,4.875
235,962560,96.397821,0.3016,0.4284,0.4708,1754.65,11.0
236,966656,95.592383,0.5625,0.4294,0.5257,1758.71,8.0
237,970752,93.615757,1.0501,0.4973,0.5106,2036.78,5.5
238,974848,91.262188,0.5760,0.4364,0.5368,1787.50,5.375
239,978944,91.700246,0.6789,0.4968,0.5120,2034.77,10.75
240,983040,94.193369,0.5034,0.3933,0.4978,1611.01,8.125
241,987136,96.161154,0.7746,0.4727,0.5311,1936.22,5.5
242,991232,96.477660,0.8661,0.4095,0.4998,1677.19,8.125
243,995328,95.976030,0.6652,0.4948,0.5577,2026.89,2.75
244,999424,96.172601,0.6700,0.4525,0.5156,1853.35,10.875
245,1003520,94.390565,0.6195,0.4559,0.5046,1867.20,10.875
246,1007616,90.854533,0.6673,0.4063,0.5352,1664.26,2.75
247,1011712,91.259948,0.9302,0.4996,0.5350,2046.45,5.375
248,1015808,90.877958,0.5390,0.4247,0.4928,1739.50,10.625
249,1019904,91.763376,0.5488,0.5214,0.5071,2135.76,10.875
250,1024000,95.688253,0.7897,0.4094,0.5093,1676.73,5.5
251,1028096,97.352607,0.8748,0.5064,0.5409,2074.23,5.5
252,1032192,96.757775,0.8674,0.4062,0.4840,1663.91,10.75
253,1036288,98.174951,0.8630,0.4723,0.5325,1934.52,2.75
254,1040384,96.784021,1.1493,0.4043,0.5302,1656.00,5.25
255,1044480,94.209610,0.6589,0.5024,0.5460,2057.81,5.5
256,1048576,94.463408,0.5647,0.4940,0.5117,2023.33,8.25
257,1052672,94.510975,0.7555,0.5340,0.5271,2187.31,5.5
258,1056768,96.034963,0.8128,0.3651,0.4805,1495.49,10.875
259,1060864,98.117626,0.7260,0.5682,0.5483,2327.27,0.0
260,1064960,98.355551,0.9243,0.4654,0.5194,1906.15,8.0
261,1069056,98.178377,0.5141,0.4781,0.5391,1958.16,5.5
262,1073152,98.824119,0.6397,0.5045,0.5155,2066.54,8.25
263,1077248,97.271238,0.8552,0.5707,0.5123,2337.71,2.75
264,1081344,95.085844,0.5708,0.3140,0.4618,1286.30,13.375
265,1085440,97.404504,0.9187,0.4311,0.5359,1765.93,5.375
266,1089536,100.351848,1.0555,0.5435,0.5658,2226.33,2.625
267,1093632,99.069923,0.6366,0.5521,0.5484,2261.51,2.75
268,1097728,97.986600,0.7119,0.4765,0.5302,1951.69,5.5
269,1101824,97.878288,0.8389,0.5122,0.5390,2098.17,8.0
270,1105920,97.116303,0.5627,0.4386,0.5037,1796.62,5.625
271,1110016,96.553689,1.1105,0.4684,0.5622,1918.62,2.625
272,1114112,96.298426,0.4873,0.5957,0.5187,2439.82,5.5
273,1118208,97.672290,1.0587,0.5119,0.5737,2096.57,2.75
274,1122304,102.070113,0.7452,0.5069,0.4943,2076.09,10.75
275,1126400,99.766867,0.6974,0.4707,0.5405,1928.05,1.125
276,1130496,101.013360,1.0138,0.5354,0.5389,2193.10,2.75
277,1134592,99.057196,0.4924,0.4837,0.5223,1981.38,9.875
278,1138688,101.541572,0.8676,0.5328,0.5607,2182.51,2.625
279,1142784,99.059727,0.9411,0.4571,0.5350,1872.15,5.375
280,1146880,102.910678,0.5646,0.4049,0.5110,1658.39,5.5
281,1150976,100.736528,0.9069,0.4914,0.5182,2012.69,8.25
282,1155072,100.790250,0.4865,0.3815,0.5129,1562.70,5.375
283,1159168,99.527626,0.6497,0.5035,0.5248,2062.49,8.25
284,1163264,98.499723,0.6936,0.5129,0.5196,2100.71,10.875
285,1167360,96.917650,0.4683,0.4339,0.5073,1777.27,8.25
286,1171456,92.899943,1.1342,0.4368,0.5260,1789.30,5.25
287,1175552,97.676810,0.5585,0.5157,0.5146,2112.44,8.125
288,1179648,99.943849,0.7296,0.4879,0.5355,1998.64,2.75
289,1183744,102.641087,0.9296,0.5506,0.5379,2255.26,5.5
290,1187840,98.796499,0.5101,0.4885,0.5465,2001.09,5.375
291,1191936,95.100927,0.8517,0.4530,0.5290,1855.48,5.375
292,1196032,90.613571,0.3891,0.4648,0.5097,1903.90,8.25
293,1200128,91.286019,0.4294,0.5112,0.5284,2093.67,8.0
294,1204224,92.677249,0.7991,0.5218,0.5374,2137.11,2.625
295,1208320,91.046671,0.8322,0.4830,0.5471,1978.48,5.375
296,1212416,92.297054,0.4638,0.5286,0.5266,2165.30,8.25
297,1216512,91.528491,0.8816,0.4802,0.5556,1966.84,5.5
298,1220608,91.106844,0.6464,0.4501,0.5093,1843.76,8.125
299,1224704,92.325217,0.6213,0.5690,0.5421,2330.57,2.75
300,1228800,91.514003,0.8885,0.4285,0.5454,1754.94,5.375
301,1232896,91.051854,0.4212,0.5349,0.5066,2191.04,9.75
302,1236992,91.256847,0.8091,0.4923,0.5554,2016.46,1.125
303,1241088,92.593334,0.4919,0.5388,0.5132,2206.75,9.375
304,1245184,97.894870,0.3837,0.4419,0.5255,1810.20,6.875
305,1249280,97.741529,0.9885,0.3962,0.5220,1622.89,2.625
306,1253376,97.984938,0.5834,0.5892,0.4918,2413.51,10.875
307,1257472,98.615302,0.8289,0.3045,0.4864,1247.19,2.75
308,1261568,94.683936,1.2002,0.4552,0.5275,1864.48,7.5
309,1265664,91.141510,0.2757,0.4138,0.5423,1695.06,0.625
310,1269760,91.054617,1.0428,0.4819,0.5208,1973.90,5.375
311,1273856,91.479190,0.5794,0.4442,0.5370,1819.36,5.5
312,1277952,91.780416,0.4330,0.5530,0.5030,2265.11,10.75
313,1282048,92.905839,0.4968,0.4624,0.5417,1893.82,5.5
314,1286144,97.279864,1.2569,0.5380,0.5533,2203.66,2.75
315,1290240,97.952320,1.0273,0.5446,0.5417,2230.58,2.75
316,1294336,98.187759,0.4813,0.4322,0.4838,1770.48,13.625
317,1298432,98.298334,0.9784,0.3720,0.5141,1523.86,2.625
318,1302528,95.162858,0.5217,0.4316,0.5081,1767.70,10.875
