Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,74.073948,-1.4861,0.2906,0.4610,1190.15,0.0
2,8192,73.244149,1.6964,0.2629,0.5003,1076.85,0.0
3,12288,73.108353,1.6910,0.2273,0.4789,931.08,0.0
4,16384,73.629027,0.7573,0.2537,0.4655,1039.30,0.0
5,20480,72.986214,0.8546,0.2650,0.4895,1085.28,0.0
6,24576,73.086966,1.3401,0.2391,0.4654,979.20,0.0
7,28672,73.451250,1.0465,0.3065,0.4705,1255.40,0.0
8,32768,73.370059,0.8088,0.2686,0.4964,1100.20,0.0
9,36864,73.076137,1.0834,0.2848,0.4517,1166.53,0.0
10,40960,73.222015,0.8499,0.3182,0.4782,1303.27,0.0
11,45056,73.638674,1.2248,0.2813,0.4907,1152.26,2.625
12,49152,73.285027,0.9411,0.2280,0.4417,933.95,0.0
13,53248,73.231562,0.5861,0.2673,0.4494,1094.72,0.0
14,57344,71.922973,1.0375,0.2650,0.5032,1085.30,0.0
15,61440,72.614069,0.7213,0.2781,0.5327,1139.30,0.0
16,65536,71.695292,0.2526,0.3274,0.5081,1341.15,0.0
17,69632,72.165400,1.0754,0.3077,0.5220,1260.15,0.0
18,73728,72.179644,0.4213,0.3385,0.5239,1386.47,0.0
19,77824,72.971212,1.2515,0.3349,0.5444,1371.55,0.0
20,81920,72.208145,1.0446,0.3223,0.5200,1320.27,0.0
21,86016,71.873516,0.9597,0.2974,0.5414,1218.20,0.0
22,90112,72.081572,0.6985,0.3141,0.5215,1286.40,0.0
23,94208,71.961013,-0.0391,0.3714,0.5629,1521.22,0.0
24,98304,72.794177,1.8622,0.3176,0.5618,1300.72,0.0
25,102400,72.133062,0.9517,0.3688,0.5427,1510.70,0.0
26,106496,72.119558,1.0985,0.3471,0.5495,1421.70,0.0
27,110592,72.481569,0.1759,0.3128,0.5364,1281.23,2.75
28,114688,71.223019,0.8497,0.3779,0.5519,1547.97,0.0
29,118784,71.627479,1.2030,0.3831,0.5660,1569.12,0.0
30,122880,71.690223,0.9020,0.3781,0.5823,1548.90,0.0
31,126976,71.163297,1.1083,0.3669,0.5348,1502.75,0.0
32,131072,71.635041,1.3489,0.3860,0.5550,1581.15,0.0
33,135168,71.740481,1.3528,0.3549,0.5545,1453.58,0.0
34,139264,72.565613,0.7577,0.4239,0.5273,1736.38,0.0
35,143360,72.308369,1.2608,0.3693,0.5475,1512.73,0.0
36,147456,72.317699,0.7679,0.4042,0.5667,1655.75,0.0
37,151552,73.048865,1.0004,0.3473,0.5440,1422.55,2.625
38,155648,71.838432,1.1491,0.3402,0.5401,1393.62,0.0
39,159744,72.324344,1.1507,0.3647,0.5786,1493.65,0.0
40,163840,73.338670,1.2056,0.3753,0.5913,1537.07,0.0
41,167936,72.946977,1.2609,0.3745,0.5758,1533.95,0.0
42,172032,73.067808,1.2902,0.4016,0.5955,1645.12,0.0
43,176128,73.974849,1.4811,0.3814,0.5948,1562.40,0.0
44,180224,74.436613,1.1341,0.4092,0.5529,1676.22,0.0
45,184320,72.588492,0.9176,0.4087,0.5815,1674.20,0.0
46,188416,72.738221,0.9122,0.3842,0.5741,1573.57,0.0
47,192512,72.314013,0.5152,0.4324,0.5675,1770.92,0.0
48,196608,71.937099,1.3776,0.4369,0.5834,1789.72,0.0
49,200704,72.695930,1.2688,0.3949,0.5449,1617.46,2.75
50,204800,71.869772,1.1436,0.3442,0.5671,1409.95,0.0
51,208896,71.555865,1.1370,0.3410,0.5306,1396.60,0.0
52,212992,71.380385,1.2173,0.2807,0.5557,1149.62,0.0
53,217088,71.401214,0.5395,0.2596,0.4920,1063.22,0.0
54,221184,71.448668,-0.0136,0.1777,0.4383,727.78,0.0
55,225280,72.738019,0.8487,0.2020,0.4782,827.20,0.0
56,229376,71.928125,0.6258,0.2778,0.5008,1137.73,0.0
57,233472,71.459934,0.3600,0.3090,0.5573,1265.60,0.0
58,237568,72.130003,1.0856,0.3425,0.5651,1402.70,0.0
59,241664,72.345000,1.2611,0.4294,0.5976,1758.97,0.0
60,245760,72.792603,1.5299,0.4231,0.5695,1733.07,0.0
61,249856,71.988669,1.2785,0.4469,0.5760,1830.65,0.0
62,253952,72.678862,1.1635,0.4966,0.5566,2034.05,0.0
63,258048,72.447139,1.0192,0.4509,0.5650,1846.97,0.0
64,262144,72.618681,1.4710,0.3962,0.5794,1622.65,2.625
65,266240,75.034954,1.1344,0.4708,0.5615,1928.43,0.0
66,270336,75.020918,1.3167,0.4069,0.5931,1666.55,0.0
67,274432,74.541806,0.8761,0.4236,0.5624,1735.08,0.0
68,278528,74.002230,0.4736,0.4161,0.5648,1704.47,0.0
69,282624,73.553300,0.8272,0.3702,0.5681,1516.17,0.0
70,286720,73.594000,0.9110,0.3680,0.4897,1507.28,0.0
71,290816,73.601785,0.6865,0.3635,0.5500,1489.10,0.0
72,294912,73.268789,0.9796,0.4071,0.5581,1667.65,0.0
73,299008,73.188770,1.1840,0.3696,0.5607,1513.97,0.0
74,303104,73.037474,0.5850,0.4280,0.5547,1753.07,0.0
75,307200,73.327461,0.6630,0.4197,0.5713,1718.96,2.75
76,311296,73.114287,0.6607,0.4162,0.5602,1704.70,1.75
77,315392,71.801165,1.5354,0.4085,0.5626,1673.05,1.0
78,319488,72.527676,0.5303,0.4564,0.5655,1869.33,0.0
79,323584,71.842108,1.3115,0.5211,0.5833,2134.23,0.0
80,327680,71.708217,0.9759,0.4465,0.5866,1828.80,0.0
81,331776,71.992969,1.0959,0.4581,0.5835,1876.28,0.0
82,335872,71.788051,1.0115,0.4739,0.5817,1941.12,2.75
83,339968,72.745286,1.1919,0.5237,0.5734,2145.02,0.0
84,344064,72.870070,1.1001,0.4904,0.5851,2008.85,0.0
85,348160,71.357966,1.2775,0.5257,0.5767,2153.38,0.0
86,352256,71.355612,1.1074,0.5310,0.5929,2174.98,0.0
87,356352,71.519542,1.1663,0.4704,0.6123,1926.60,0.0
