Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,72.651940,-0.8553,0.1022,0.2479,418.65,0.0
2,8192,77.214133,-0.0164,0.1000,0.1995,409.73,0.0
3,12288,77.052953,0.8855,0.1118,0.3588,458.08,0.0
4,16384,75.211879,0.6563,0.1321,0.3501,540.92,0.0
5,20480,75.148035,0.6620,0.1409,0.3343,577.33,0.0
6,24576,75.325607,0.4292,0.1186,0.3029,485.83,0.0
7,28672,74.964649,0.7497,0.1439,0.3690,589.60,0.0
8,32768,76.901224,1.0139,0.1984,0.3956,812.62,0.0
9,36864,74.485863,1.0498,0.1748,0.3944,716.10,0.0
10,40960,74.899366,0.6017,0.2201,0.4536,901.60,0.0
11,45056,75.649860,0.3283,0.1860,0.4165,761.70,0.0
12,49152,74.396704,0.8821,0.2006,0.4289,821.75,0.0
13,53248,75.545608,0.4896,0.2353,0.4736,963.83,0.0
14,57344,74.966833,0.6908,0.2465,0.4639,1009.58,0.0
15,61440,74.741791,0.5864,0.2360,0.4630,966.80,0.0
16,65536,78.827041,1.0968,0.2391,0.4793,979.22,0.0
17,69632,74.950443,0.1074,0.3078,0.4923,1260.90,2.625
18,73728,74.798337,1.0147,0.2386,0.4476,977.14,2.625
19,77824,76.862949,0.7934,0.2925,0.5041,1198.23,0.0
20,81920,75.002558,0.9659,0.3320,0.5277,1359.72,0.0
21,86016,75.072440,0.7508,0.3303,0.5575,1352.75,0.0
22,90112,75.276477,1.2044,0.3309,0.5329,1355.50,0.0
23,94208,75.688766,0.7747,0.3360,0.5026,1376.07,0.0
24,98304,78.897175,0.9400,0.3487,0.5373,1428.42,0.0
25,102400,74.968857,1.5490,0.3040,0.5490,1245.12,0.0
26,106496,74.472393,0.8533,0.3488,0.5241,1428.70,0.0
27,110592,76.157186,1.0464,0.3336,0.5502,1366.43,0.0
28,114688,76.026219,1.4518,0.3227,0.5566,1321.65,0.0
29,118784,75.567497,0.5961,0.3534,0.5562,1447.57,0.0
30,122880,76.080761,0.7519,0.3892,0.5359,1594.22,0.0
31,126976,75.828233,1.0216,0.3280,0.5215,1343.66,2.75
32,131072,77.742758,1.0250,0.3558,0.5650,1457.40,0.0
33,135168,75.432825,0.7642,0.3747,0.5406,1534.78,0.0
34,139264,73.838670,0.7509,0.3966,0.5442,1624.55,0.0
35,143360,75.706858,1.4075,0.3747,0.5786,1534.93,0.0
36,147456,76.039192,1.2566,0.3298,0.5607,1350.78,0.0
37,151552,76.267034,1.0633,0.3797,0.5574,1555.15,0.0
38,155648,76.928287,1.1691,0.3743,0.5449,1533.05,0.0
39,159744,75.001338,1.1087,0.3750,0.5417,1535.85,0.0
40,163840,75.102870,0.5395,0.4063,0.5529,1664.27,0.0
41,167936,74.493980,1.0593,0.3162,0.5758,1295.35,0.0
42,172032,74.639986,0.9507,0.3587,0.5389,1469.17,0.0
43,176128,75.004280,0.9332,0.3378,0.5559,1383.55,0.0
44,180224,74.696609,0.9945,0.3579,0.5294,1466.07,0.0
45,184320,74.396821,0.6303,0.3875,0.5391,1587.27,0.0
46,188416,73.640378,1.4789,0.3568,0.5522,1461.35,0.0
47,192512,73.838107,0.8983,0.4077,0.5551,1670.05,0.0
48,196608,75.494882,1.2280,0.3986,0.5631,1632.68,0.0
49,200704,75.730650,1.1373,0.4043,0.5216,1656.17,0.0
50,204800,74.504992,0.9515,0.3658,0.5647,1498.15,0.0
51,208896,74.146529,0.8255,0.3709,0.5989,1519.05,0.0
52,212992,75.024647,1.5046,0.3603,0.5777,1475.67,0.0
53,217088,75.564728,1.1183,0.3736,0.5519,1530.07,0.0
54,221184,76.003335,1.0416,0.4044,0.5729,1656.58,0.0
55,225280,75.253950,0.6610,0.3933,0.5786,1610.97,0.0
56,229376,73.966101,0.8398,0.3758,0.5899,1539.47,0.0
57,233472,74.558821,0.9486,0.4085,0.5731,1673.38,0.0
58,237568,74.035184,0.8144,0.3878,0.5624,1588.62,0.0
59,241664,74.127451,0.8041,0.4161,0.5784,1704.53,0.0
60,245760,74.937370,1.0349,0.3842,0.5958,1573.68,0.0
61,249856,74.539504,0.7500,0.3902,0.5527,1598.45,0.0
62,253952,73.650157,1.1503,0.4107,0.5782,1682.30,0.0
63,258048,76.249794,1.0278,0.4046,0.5754,1657.38,0.0
64,262144,77.287638,0.8860,0.3833,0.5858,1570.10,0.0
65,266240,77.732372,0.3964,0.4215,0.5771,1726.52,0.0
66,270336,75.244981,1.2157,0.3728,0.5489,1526.95,2.75
67,274432,75.443860,1.1694,0.3954,0.5845,1619.45,0.0
68,278528,73.358054,0.7296,0.4482,0.5631,1835.70,0.0
69,282624,81.071925,1.3999,0.3898,0.5694,1596.70,0.0
70,286720,82.259046,0.5307,0.4571,0.5872,1872.10,0.0
71,290816,83.642846,1.3829,0.4369,0.5688,1789.40,0.0
72,294912,85.043179,1.2758,0.4200,0.5961,1720.17,0.0
73,299008,88.688715,0.8558,0.3949,0.5713,1617.50,0.0
74,303104,90.644741,0.7456,0.3987,0.5885,1633.00,0.0
75,307200,91.072101,0.6819,0.4187,0.5898,1714.90,0.0
76,311296,90.388935,0.8598,0.4315,0.5675,1767.52,0.0
77,315392,90.289967,0.8633,0.4201,0.5845,1720.93,0.0
78,319488,89.877933,0.4749,0.4229,0.5606,1732.40,0.0
79,323584,91.099740,0.5892,0.4118,0.5433,1686.60,0.0
80,327680,90.896262,0.8209,0.3618,0.5438,1482.03,0.0
81,331776,88.343763,1.0938,0.3638,0.5210,1490.20,0.0
82,335872,81.444876,1.1533,0.3654,0.5769,1496.78,0.0
83,339968,83.261992,1.1510,0.4124,0.5735,1689.25,0.0
84,344064,85.886396,1.2591,0.4672,0.5667,1913.67,0.0
85,348160,83.012447,1.5080,0.4906,0.5979,2009.30,0.0
86,352256,81.561725,1.0525,0.5154,0.5721,2111.00,0.0
87,356352,81.601101,1.0511,0.4528,0.5516,1854.55,0.0
88,360448,83.155327,1.1283,0.3811,0.5495,1560.90,2.75
89,364544,77.920167,0.3760,0.4011,0.5577,1642.77,0.0
90,368640,80.574279,1.1195,0.4282,0.5376,1754.00,0.0
91,372736,79.204141,0.5884,0.4637,0.5890,1899.18,0.0
92,376832,77.708154,1.3267,0.4326,0.5545,1772.08,0.0
93,380928,79.368316,0.7192,0.4498,0.5502,1842.52,0.0
94,385024,82.541878,1.2249,0.3857,0.5647,1579.62,0.0
95,389120,81.363512,0.6784,0.4351,0.5686,1782.35,0.0
96,393216,84.061000,0.6712,0.4183,0.5715,1713.30,0.0
97,397312,83.882884,1.2497,0.4739,0.5813,1941.25,0.0
98,401408,83.850235,0.8083,0.5203,0.5582,2130.95,0.0
99,405504,85.186157,1.2151,0.4459,0.6186,1826.28,0.0
100,409600,83.071895,0.9890,0.5285,0.5623,2164.90,0.0
101,413696,83.048007,0.9635,0.4132,0.5569,1692.43,0.0
102,417792,82.042362,1.0104,0.4988,0.5557,2043.07,0.0
103,421888,82.524580,1.4201,0.4858,0.5776,1989.77,0.0
104,425984,82.913760,0.8752,0.4347,0.5535,1780.50,0.0
105,430080,88.329886,1.5228,0.4212,0.5396,1725.09,5.375
106,434176,87.416362,1.0821,0.3738,0.5424,1531.20,0.0
107,438272,87.756594,0.9811,0.4447,0.5909,1821.45,0.0
108,442368,88.219482,1.4543,0.4707,0.5604,1927.89,2.75
109,446464,87.396188,0.9951,0.4977,0.5677,2038.62,0.0
110,450560,89.805571,0.8935,0.5008,0.5929,2051.43,0.0
111,454656,88.802969,0.6997,0.5379,0.5634,2203.15,0.0
112,458752,89.192636,1.0482,0.4589,0.5471,1879.54,2.75
113,462848,88.600292,1.1607,0.4810,0.5696,1970.15,2.625
114,466944,87.866756,0.9136,0.4403,0.5448,1803.56,2.625
115,471040,89.765152,0.8103,0.3931,0.5634,1610.29,2.75
116,475136,85.461776,0.7905,0.5157,0.5625,2112.15,0.0
117,479232,82.025982,0.9686,0.5021,0.5796,2056.52,0.0
118,483328,85.588337,1.5208,0.4760,0.5143,1949.51,4.0
119,487424,85.854374,0.6810,0.3945,0.5253,1615.72,6.875
120,491520,87.815355,0.7866,0.4508,0.5388,1846.50,2.625
121,495616,87.734181,1.0267,0.3331,0.5571,1364.25,0.0
122,499712,91.688856,0.2619,0.4436,0.5567,1817.00,0.0
123,503808,95.083338,1.1320,0.4155,0.5489,1701.85,2.75
124,507904,94.111912,0.5168,0.4619,0.5225,1892.09,2.75
