Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,75.920902,-0.6741,0.1650,0.3289,675.70,0.0
2,8192,75.260000,0.7293,0.0573,0.2629,234.73,0.0
3,12288,76.272509,0.4055,0.0771,0.2596,315.60,0.0
4,16384,74.783356,0.3702,0.0902,0.2745,369.33,0.0
5,20480,74.812316,0.2869,0.0495,0.2159,202.77,0.0
6,24576,75.460475,0.5647,0.1208,0.3692,495.00,0.0
7,28672,74.675155,0.6608,0.1387,0.3730,568.05,0.0
8,32768,79.490414,0.2247,0.1423,0.3673,582.88,0.0
9,36864,74.674742,0.6996,0.1104,0.3379,452.20,0.0
10,40960,74.622100,0.6323,0.1783,0.4133,730.30,0.0
11,45056,76.619505,1.0274,0.1437,0.3937,588.45,0.0
12,49152,74.747474,0.5246,0.1936,0.4567,792.97,0.0
13,53248,74.568234,0.0035,0.1988,0.4304,814.15,0.0
14,57344,74.930533,0.4288,0.2139,0.4627,876.22,0.0
15,61440,75.479830,1.2320,0.2052,0.4462,840.53,0.0
16,65536,81.112521,0.7260,0.2400,0.5107,983.22,0.0
17,69632,74.664500,0.9182,0.3088,0.4940,1264.88,0.0
18,73728,75.689279,1.2308,0.2527,0.4811,1034.97,0.0
19,77824,76.136241,0.2682,0.2452,0.4838,1004.30,0.0
20,81920,74.880856,1.0156,0.2701,0.5018,1106.32,0.0
21,86016,74.921164,0.3250,0.2710,0.5036,1110.10,0.0
22,90112,74.746198,1.3597,0.2755,0.5479,1128.62,0.0
23,94208,74.764871,0.6962,0.2916,0.5447,1194.42,0.0
24,98304,77.508266,0.7932,0.3085,0.5378,1263.48,0.0
25,102400,74.333774,1.1444,0.3206,0.5352,1313.30,0.0
26,106496,75.267059,1.0431,0.2876,0.5321,1177.95,0.0
27,110592,74.555834,0.7799,0.3178,0.5284,1301.60,0.0
28,114688,75.358084,1.4195,0.3558,0.5593,1457.40,0.0
29,118784,75.227656,1.3321,0.3331,0.5342,1364.20,0.0
30,122880,75.647155,1.2116,0.3265,0.5349,1337.38,0.0
31,126976,76.735197,0.8121,0.3611,0.5434,1478.98,0.0
32,131072,79.087395,0.7397,0.3546,0.5319,1452.43,0.0
33,135168,79.125555,1.4363,0.3306,0.5196,1354.05,0.0
34,139264,79.785772,0.8566,0.3590,0.5465,1470.30,0.0
35,143360,79.485284,1.2325,0.3498,0.5486,1432.70,0.0
36,147456,78.816398,0.7525,0.3843,0.5514,1574.15,0.0
37,151552,78.829644,0.8945,0.3535,0.5991,1447.98,0.0
38,155648,79.241122,1.2688,0.3585,0.5575,1468.22,0.0
39,159744,79.199414,1.3775,0.3511,0.5704,1437.95,0.0
