Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,8192,34.642165,-1.6204,0.1270,0.3052,1040.45,0.0
2,16384,32.408058,0.1343,0.0153,0.1193,125.68,0.0
3,24576,32.625957,-0.0042,0.0246,0.1885,201.83,0.0
4,32768,32.253156,0.3192,0.0416,0.2339,340.85,0.0
5,40960,32.436184,0.2280,0.0229,0.2092,187.25,0.0
6,49152,32.240820,-0.0160,0.1117,0.3574,914.75,0.0
7,57344,32.249601,-0.1468,0.0132,0.0845,107.97,0.0
8,65536,32.211989,-0.0237,0.0107,0.1619,87.75,0.0
9,73728,32.042495,0.2326,0.0552,0.2782,451.98,0.0
10,81920,32.551688,0.1124,0.0298,0.1887,243.90,0.0
11,90112,32.162594,0.3595,0.0997,0.3860,816.47,0.0
12,98304,32.311305,0.0072,0.0773,0.3219,633.15,0.0
13,106496,32.724365,0.1269,0.0625,0.2837,512.03,0.0
14,114688,32.132800,0.3182,0.1026,0.3311,840.40,0.0
15,122880,32.083745,0.2479,0.0834,0.3274,682.83,0.0
16,131072,32.559986,0.1412,0.0772,0.3140,632.58,0.0
17,139264,32.016482,0.1445,0.0798,0.2959,654.10,0.0
18,147456,32.505174,0.5599,0.1777,0.4820,1455.65,0.0
19,155648,32.147377,0.3257,0.1333,0.4139,1092.00,0.0
20,163840,32.232609,0.2821,0.1570,0.4245,1286.40,0.0
21,172032,32.266716,0.6490,0.2036,0.4572,1667.52,0.0
22,180224,33.208391,0.5378,0.1733,0.4322,1420.05,0.0
23,188416,32.171350,0.4670,0.1914,0.4356,1568.05,0.0
24,196608,32.126523,0.3782,0.1868,0.4425,1530.20,0.0
25,204800,32.280616,0.6290,0.2538,0.5202,2078.75,0.0
26,212992,32.137956,0.4203,0.2376,0.5107,1946.20,0.0
27,221184,32.379477,0.6191,0.2087,0.4334,1710.00,0.0
28,229376,32.185058,0.6262,0.2444,0.4940,2002.12,0.0
29,237568,32.375192,0.5506,0.2341,0.4856,1918.15,0.0
30,245760,32.195578,0.6671,0.2344,0.4950,1919.85,0.0
31,253952,31.906999,0.5964,0.2210,0.4851,1810.52,0.0
32,262144,32.132711,0.6453,0.2580,0.4928,2113.45,0.0
33,270336,32.030343,0.3973,0.2028,0.4459,1661.30,0.0
34,278528,32.467515,0.4242,0.2104,0.4650,1723.50,0.0
35,286720,31.728097,0.5799,0.2003,0.4548,1641.05,0.0
36,294912,32.406399,0.3941,0.2060,0.4469,1687.22,0.0
37,303104,32.221083,0.4604,0.2059,0.4627,1686.75,0.0
38,311296,31.802456,0.1440,0.2197,0.4625,1799.62,0.0
39,319488,31.584467,0.7844,0.2838,0.5402,2324.52,0.0
40,327680,31.876901,0.6455,0.3289,0.5146,2694.42,0.0
41,335872,31.568850,0.6800,0.3196,0.5362,2618.23,0.0
42,344064,31.672106,0.5735,0.3120,0.5122,2555.90,0.0
43,352256,31.677770,0.7606,0.3952,0.5627,3237.85,0.0
44,360448,31.795459,0.9456,0.3811,0.5198,3122.02,0.0
45,368640,31.591865,0.9099,0.3262,0.5300,2672.38,1.375
46,376832,31.452140,0.8929,0.3155,0.5111,2584.39,4.0625
47,385024,31.552709,0.6174,0.3083,0.5259,2525.27,0.0
48,393216,31.473176,0.4909,0.3504,0.5416,2870.23,0.0
49,401408,31.827517,0.6622,0.3180,0.5161,2605.25,0.0
50,409600,31.465977,0.7119,0.3285,0.5369,2691.23,0.0
51,417792,31.895961,0.8624,0.3740,0.5530,3063.75,0.0
52,425984,31.913502,1.0771,0.4137,0.5479,3389.36,1.375
53,434176,32.083388,0.8708,0.3846,0.5203,3150.89,1.375
54,442368,31.900686,0.7801,0.3854,0.5227,3157.15,0.0
55,450560,31.983679,0.6358,0.3940,0.5299,3227.70,2.75
56,458752,31.829246,0.8224,0.4036,0.5507,3306.12,1.3125
57,466944,32.365815,0.6914,0.3869,0.5378,3169.17,0.0
58,475136,31.589420,0.9712,0.3410,0.5156,2793.19,1.375
59,483328,31.686224,0.6411,0.3775,0.5278,3092.81,4.125
60,491520,31.754311,0.6638,0.3519,0.5362,2882.86,2.75
61,499712,31.821495,0.8719,0.3638,0.5105,2980.20,0.0
62,507904,31.626468,0.6233,0.3549,0.5313,2907.09,1.3125
63,516096,31.525653,0.8743,0.3781,0.5191,3097.52,1.375
64,524288,31.734772,0.9555,0.4118,0.5625,3373.35,0.0
65,532480,31.484865,0.7487,0.4022,0.5714,3294.65,0.0
66,540672,31.685497,0.5359,0.4533,0.5941,3713.75,0.0
67,548864,31.657449,0.9800,0.5062,0.5601,4146.90,1.0
68,557056,31.769562,1.0162,0.4648,0.5431,3807.61,3.0625
69,565248,32.020052,1.0955,0.4264,0.5541,3493.45,0.0
70,573440,31.915583,0.9381,0.4759,0.5587,3898.30,1.375
71,581632,31.301638,0.8715,0.4505,0.5304,3690.32,2.6875
72,589824,31.700632,0.9996,0.3934,0.5640,3223.00,4.0
73,598016,31.776229,0.6230,0.4212,0.5421,3450.80,2.6875
74,606208,31.617018,0.9197,0.4123,0.5415,3377.30,0.875
75,614400,31.885748,0.5414,0.4222,0.5119,3458.83,3.625
76,622592,31.975587,0.5940,0.3443,0.5066,2820.86,3.6875
77,630784,32.532799,0.9187,0.3950,0.5139,3235.45,1.3125
78,638976,31.750045,0.8181,0.4372,0.5526,3581.74,1.375
79,647168,31.903984,0.8356,0.4533,0.5142,3713.09,2.75
80,655360,31.796520,0.6333,0.3651,0.4881,2990.98,6.25
81,663552,31.866683,0.3684,0.3014,0.4717,2468.94,4.625
82,671744,31.408653,0.6116,0.3498,0.4838,2865.62,6.8125
83,679936,31.443464,0.3947,0.3229,0.4545,2644.86,9.5
84,688128,31.478331,0.3922,0.2735,0.4581,2240.75,4.75
85,696320,31.986841,0.8015,0.3981,0.5486,3261.49,2.0625
86,704512,31.584284,0.7296,0.4092,0.4994,3352.39,6.875
87,712704,31.716177,0.3871,0.2954,0.4543,2419.61,4.375
88,720896,32.138930,0.4290,0.2619,0.4488,2145.30,6.25
89,729088,31.747107,0.5950,0.4340,0.5408,3555.38,2.6875
90,737280,31.427370,0.6100,0.4611,0.5253,3777.40,1.375
91,745472,31.564487,0.6762,0.4011,0.5017,3285.67,5.375
92,753664,31.439815,0.3096,0.3564,0.4949,2919.94,9.5
93,761856,31.629566,0.6254,0.4194,0.5093,3435.82,6.6875
94,770048,31.437447,0.4729,0.3503,0.4768,2869.61,7.9375
95,778240,31.534282,0.9076,0.4471,0.5391,3662.96,2.75
96,786432,31.270819,0.8407,0.4043,0.4987,3311.97,7.0625
97,794624,31.748384,0.2722,0.3280,0.4851,2686.74,7.8125
98,802816,31.495840,0.7092,0.4841,0.5098,3965.45,5.5
99,811008,32.558799,0.5298,0.3863,0.4887,3164.66,9.5
100,819200,31.846367,0.6798,0.4154,0.5394,3403.16,2.375
101,827392,31.981283,0.7014,0.4839,0.5278,3963.83,4.375
102,835584,32.093097,0.2916,0.4006,0.4919,3281.49,8.0625
103,843776,31.807959,0.6238,0.3844,0.4818,3148.98,9.5
104,851968,32.111113,0.6489,0.4481,0.5179,3670.70,2.75
105,860160,32.040135,0.8839,0.5065,0.5302,4148.90,2.1875
106,868352,31.830104,0.6230,0.4330,0.5352,3547.18,4.4375
107,876544,31.527458,0.6574,0.4507,0.5151,3691.88,8.0625
108,884736,31.687766,0.8974,0.4416,0.5230,3617.73,2.75
109,892928,31.880815,0.5298,0.4933,0.5171,4041.34,8.4375
110,901120,32.584034,0.3457,0.3277,0.4536,2684.51,10.3125
111,909312,33.501571,0.6859,0.4589,0.5209,3759.55,8.4375
112,917504,33.535711,0.6149,0.4365,0.5195,3575.42,5.6875
113,925696,33.804957,0.9686,0.4664,0.5534,3820.38,3.5
114,933888,33.541820,0.8266,0.5221,0.5391,4276.85,6.75
115,942080,33.610563,0.8108,0.4846,0.5216,3969.59,3.9375
116,950272,33.653993,0.3293,0.4436,0.4987,3634.06,8.375
117,958464,33.580625,0.7033,0.4566,0.5290,3740.36,5.25
118,966656,34.507309,0.7884,0.4783,0.5336,3918.44,6.625
119,974848,33.996505,0.5167,0.4586,0.5253,3756.79,6.625
120,983040,33.902920,0.6266,0.3832,0.4860,3138.77,9.4375
121,991232,34.822133,0.5382,0.4279,0.5275,3505.00,3.375
122,999424,34.490195,0.3447,0.3788,0.4659,3103.36,13.0
123,1007616,34.671470,0.6021,0.3891,0.5084,3187.82,5.4375
124,1015808,35.373918,0.8391,0.4526,0.5402,3707.85,5.4375
125,1024000,34.649686,0.8289,0.5065,0.5285,4148.88,8.1875
126,1032192,35.206211,0.7552,0.4751,0.5342,3892.14,4.0625
127,1040384,35.617081,0.7761,0.3941,0.4992,3228.88,8.1875
128,1048576,35.540645,0.8759,0.5171,0.5494,4236.26,2.75
129,1056768,35.035110,0.5645,0.4779,0.5148,3914.73,10.9375
130,1064960,33.806458,0.5838,0.4055,0.5266,3321.56,5.4375
131,1073152,34.186865,0.3638,0.4530,0.4904,3711.31,13.5625
132,1081344,34.680911,0.5651,0.4473,0.5453,3664.62,4.0625
133,1089536,33.959593,0.6697,0.4741,0.5101,3883.82,9.5625
134,1097728,34.275607,0.6149,0.4831,0.5408,3957.49,5.5
135,1105920,33.938820,0.4861,0.4161,0.4957,3408.60,11.0
136,1114112,34.461343,0.6696,0.4748,0.5392,3889.81,4.125
137,1122304,33.704192,0.3912,0.4958,0.5129,4061.30,9.4375
138,1130496,33.830294,0.4635,0.4493,0.5144,3680.88,8.0625
139,1138688,35.284275,0.6237,0.5125,0.5165,4198.48,6.6875
140,1146880,34.138482,0.6171,0.4719,0.5195,3866.07,8.3125
141,1155072,34.200876,0.7495,0.4132,0.5163,3385.10,10.625
142,1163264,33.930623,0.7128,0.4973,0.5324,4073.89,5.375
143,1171456,34.379991,0.5177,0.4170,0.4970,3415.75,9.5625
144,1179648,34.058222,0.5822,0.4840,0.5405,3965.16,4.0625
145,1187840,34.878061,0.8093,0.4114,0.5071,3370.18,10.9375
146,1196032,37.319295,0.6634,0.4829,0.5135,3955.61,6.875
147,1204224,34.557110,0.5287,0.4222,0.5247,3458.46,5.5
148,1212416,36.396812,0.4699,0.3449,0.4838,2825.05,9.625
149,1220608,36.613469,0.7270,0.4295,0.5126,3518.68,3.8125
150,1228800,35.337639,0.1987,0.3405,0.4588,2789.48,13.9375
151,1236992,34.979750,0.8240,0.4545,0.5376,3723.32,4.125
152,1245184,35.153619,0.4079,0.4143,0.4755,3394.26,10.875
153,1253376,34.261041,0.4745,0.3848,0.5000,3152.32,9.4375
154,1261568,33.995898,0.4943,0.2960,0.4564,2425.15,5.375
155,1269760,34.758646,0.4660,0.3367,0.4963,2758.41,8.9375
156,1277952,33.068957,0.4481,0.3138,0.4776,2570.98,4.6875
157,1286144,33.972876,0.5129,0.4172,0.5101,3417.34,6.625
158,1294336,33.544758,0.6670,0.3905,0.5045,3199.12,6.875
159,1302528,34.187082,0.4764,0.3810,0.5179,3121.26,9.4375
160,1310720,35.332788,0.9603,0.4594,0.5398,3763.10,5.4375
161,1318912,34.431861,0.6811,0.4232,0.5375,3467.17,2.75
162,1327104,33.633242,0.4334,0.3769,0.5168,3087.76,6.8125
163,1335296,34.468342,0.5985,0.4469,0.5126,3661.09,6.6875
164,1343488,33.879760,0.5195,0.4061,0.5126,3327.10,4.25
165,1351680,35.478803,0.7400,0.3932,0.5205,3221.29,4.0
166,1359872,34.440583,0.4977,0.3956,0.4967,3240.65,7.25
167,1368064,34.833023,0.4156,0.3694,0.5203,3025.88,6.3125
168,1376256,36.275708,0.5048,0.4085,0.5161,3346.79,6.8125
169,1384448,37.017028,0.4033,0.3923,0.5040,3213.65,5.75
170,1392640,37.324500,0.4395,0.3414,0.5008,2796.96,6.375
171,1400832,35.162029,0.4928,0.3479,0.4851,2850.19,6.75
172,1409024,36.715884,0.4048,0.2990,0.4831,2449.23,4.0625
173,1417216,36.930858,0.5331,0.2841,0.4609,2326.98,7.625
174,1425408,35.668748,0.2919,0.2553,0.4529,2091.59,4.625
175,1433600,35.110005,0.3359,0.2888,0.4682,2365.74,8.0
176,1441792,34.811000,0.4216,0.4034,0.5124,3304.96,5.4375
177,1449984,34.458915,0.9389,0.3030,0.4934,2482.38,2.75
178,1458176,34.579388,0.4097,0.3736,0.5065,3060.46,4.0
179,1466368,33.274023,0.3749,0.3479,0.4724,2850.36,8.125
180,1474560,33.992511,0.2723,0.3240,0.4938,2654.09,4.0625
181,1482752,34.133016,0.2658,0.2663,0.4342,2181.64,8.125
182,1490944,34.176538,0.7558,0.3526,0.5168,2888.26,1.375
183,1499136,35.918243,0.3225,0.3745,0.4951,3068.21,9.3125
184,1507328,34.358083,0.5764,0.3404,0.5072,2788.35,3.75
185,1515520,34.505195,0.6056,0.3128,0.4883,2562.38,7.25
186,1523712,34.512019,0.4103,0.4143,0.5307,3393.70,5.125
187,1531904,33.642045,0.5342,0.4081,0.5190,3343.49,6.375
188,1540096,34.004037,0.3990,0.4600,0.5141,3768.73,5.8125
189,1548288,33.418400,0.4704,0.3201,0.4870,2621.96,6.8125
190,1556480,34.083989,0.4104,0.3959,0.5202,3243.25,2.75
191,1564672,33.488493,0.3081,0.2911,0.4639,2385.01,6.8125
192,1572864,34.913196,0.5845,0.3224,0.5146,2641.15,0.0
193,1581056,33.853740,0.5152,0.3046,0.5090,2495.15,4.0625
194,1589248,35.191906,0.5716,0.4045,0.5343,3313.79,4.125
195,1597440,34.462327,0.5208,0.4209,0.5121,3447.91,9.5
196,1605632,35.494213,0.7643,0.4693,0.5368,3844.90,4.75
197,1613824,34.914806,0.5131,0.4721,0.5153,3867.80,8.8125
198,1622016,34.579411,0.5702,0.4515,0.5418,3698.59,5.875
199,1630208,34.409198,0.5504,0.4520,0.5230,3703.10,7.625
200,1638400,36.148051,0.6551,0.4362,0.5503,3573.38,1.3125
201,1646592,34.945964,0.5551,0.4100,0.5182,3358.71,9.375
202,1654784,34.361889,0.5753,0.4555,0.5166,3731.69,5.375
203,1662976,35.047753,0.4325,0.3672,0.5118,3007.85,4.875
204,1671168,34.032198,0.6457,0.3538,0.5087,2898.59,7.375
205,1679360,33.546471,0.3819,0.3960,0.5169,3243.99,4.125
206,1687552,34.098180,0.6710,0.4120,0.5447,3375.06,1.375
207,1695744,34.143483,0.4237,0.3957,0.5232,3241.55,9.5
208,1703936,34.811111,0.6487,0.4057,0.5286,3323.21,6.75
209,1712128,34.708888,1.1788,0.4937,0.5450,4044.12,1.375
210,1720320,34.636472,0.5378,0.4041,0.5108,3310.12,12.3125
211,1728512,34.141245,0.8930,0.5246,0.5515,4297.40,2.625
212,1736704,35.221481,0.6190,0.4831,0.5308,3957.70,8.125
213,1744896,34.929511,0.6653,0.4992,0.5486,4089.80,5.0
214,1753088,35.887698,0.7181,0.5009,0.5135,4103.31,8.5
215,1761280,35.975390,0.6021,0.4548,0.5159,3725.77,10.5
216,1769472,34.698227,0.9034,0.4772,0.5658,3908.85,1.625
217,1777664,33.686455,0.8107,0.5083,0.5366,4163.59,7.5
218,1785856,31.769926,0.4535,0.4404,0.5034,3607.98,14.125
219,1794048,31.594202,0.6632,0.3728,0.5085,3053.82,4.0625
220,1802240,31.434479,0.6284,0.4729,0.5117,3873.99,10.8125
221,1810432,31.437692,0.5954,0.4330,0.5254,3546.79,5.5625
222,1818624,31.799697,0.6565,0.4614,0.5386,3779.73,6.3125
223,1826816,31.646729,0.5676,0.4803,0.5082,3934.46,9.875
224,1835008,31.489861,0.8003,0.4306,0.5316,3527.61,5.5
225,1843200,31.603755,0.8983,0.5602,0.5474,4589.17,2.75
226,1851392,31.287449,0.7372,0.4595,0.5115,3764.32,10.8125
227,1859584,31.414939,0.6930,0.4498,0.5601,3684.56,4.0625
228,1867776,31.699924,0.4986,0.5566,0.5344,4559.29,8.6875
229,1875968,31.721933,0.6693,0.4995,0.5264,4091.76,6.3125
230,1884160,31.770545,0.5630,0.5125,0.5170,4198.80,10.3125
231,1892352,31.641095,0.5026,0.4549,0.5225,3726.64,5.375
232,1900544,31.555696,0.7921,0.4763,0.5340,3901.79,10.125
233,1908736,31.629016,0.6319,0.5467,0.5279,4478.48,4.25
234,1916928,31.727621,0.2638,0.4153,0.5033,3401.79,11.9375
235,1925120,31.590680,0.4253,0.4147,0.5121,3397.59,5.4375
236,1933312,31.683920,0.2613,0.3650,0.4838,2990.16,10.8125
237,1941504,31.629912,0.4239,0.4448,0.5297,3643.67,5.1875
238,1949696,31.811911,0.4192,0.3467,0.4986,2840.38,8.4375
239,1957888,32.083469,0.6523,0.4914,0.5285,4025.49,4.0625
240,1966080,32.393529,0.5355,0.4316,0.5145,3535.84,6.8125
241,1974272,32.219456,0.3186,0.4323,0.4873,3541.65,10.875
242,1982464,32.040303,0.4279,0.3838,0.5087,3143.69,6.75
243,1990656,32.024264,0.5805,0.4639,0.5248,3800.36,9.4375
244,1998848,31.612357,0.5718,0.5333,0.5335,4368.99,5.375
245,2007040,31.515973,0.1621,0.4433,0.4880,3631.56,12.125
246,2015232,31.671911,0.7595,0.4642,0.5210,3802.36,8.125
247,2023424,31.659935,0.6153,0.4140,0.5241,3391.33,8.1875
248,2031616,31.658564,0.6321,0.5027,0.5273,4117.84,6.75
249,2039808,31.426701,0.5305,0.5105,0.5428,4181.78,4.8125
250,2048000,31.912817,0.7085,0.4623,0.5400,3787.04,7.375
251,2056192,31.797525,0.7202,0.5495,0.5243,4501.54,7.4375
