Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,80.726560,0.0810,0.2634,0.4336,1079.03,0.0
2,8192,81.384115,1.0171,0.2738,0.4563,1121.65,0.0
3,12288,81.214183,0.5815,0.2589,0.4369,1060.40,0.0
4,16384,82.478949,1.0392,0.3014,0.4739,1234.68,0.0
5,20480,81.353639,1.5135,0.2888,0.4644,1183.12,0.0
6,24576,80.821675,1.2082,0.3126,0.4839,1280.22,0.0
7,28672,79.821434,1.2538,0.2843,0.4716,1164.40,0.0
8,32768,82.461516,1.3839,0.2718,0.5120,1113.25,0.0
9,36864,82.391210,0.7568,0.3152,0.5019,1291.08,0.0
10,40960,79.566745,0.8986,0.3470,0.5237,1421.25,0.0
11,45056,79.279918,1.2532,0.3115,0.5353,1276.05,0.0
12,49152,82.122874,0.9950,0.3479,0.5348,1425.18,0.0
13,53248,81.204530,1.0663,0.3061,0.5541,1253.75,0.0
14,57344,81.081234,1.8252,0.3038,0.5109,1244.23,0.0
15,61440,81.360822,0.5705,0.3401,0.5395,1392.85,0.0
16,65536,79.005542,0.8990,0.3329,0.5543,1363.45,0.0
17,69632,79.154133,0.5618,0.3143,0.5419,1287.57,0.0
18,73728,78.187235,1.2917,0.3225,0.5568,1321.00,0.0
19,77824,79.255023,0.9976,0.3960,0.5436,1622.03,0.0
20,81920,77.229287,1.2614,0.3645,0.5345,1492.80,0.0
21,86016,81.341024,1.2343,0.3641,0.5330,1491.33,0.0
22,90112,80.719718,1.4288,0.3649,0.5227,1494.62,0.0
23,94208,76.938658,0.8684,0.3433,0.5388,1406.15,0.0
24,98304,78.829594,1.8819,0.3989,0.5105,1633.85,0.0
25,102400,79.969729,1.6678,0.3556,0.5474,1456.55,0.0
26,106496,79.004422,0.9147,0.3854,0.5405,1578.68,0.0
27,110592,87.954880,1.8817,0.3946,0.5290,1616.35,0.625
28,114688,88.257685,1.2264,0.3049,0.5544,1248.79,2.0
29,118784,88.335483,0.6789,0.3255,0.5533,1333.43,0.0
30,122880,89.399521,1.5966,0.3393,0.5443,1389.85,0.0
31,126976,88.187330,0.1086,0.3203,0.5185,1312.00,0.0
32,131072,88.623327,0.5175,0.3790,0.5631,1552.28,0.0
33,135168,87.879229,0.5532,0.3698,0.5221,1514.72,0.0
34,139264,88.780669,1.3759,0.2989,0.5739,1224.32,0.0
35,143360,87.301753,0.6259,0.3108,0.5685,1272.90,0.0
36,147456,87.504343,1.1058,0.3531,0.5656,1446.43,0.0
37,151552,87.944409,0.9642,0.3736,0.5315,1530.43,0.0
38,155648,87.912233,1.3660,0.3995,0.5471,1636.43,0.0
39,159744,88.129378,1.3364,0.3713,0.5633,1520.65,0.0
