Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,106.188930,0.0082,0.1341,0.2729,549.48,0.0
2,8192,104.502177,0.3794,0.0435,0.2188,178.00,0.0
3,12288,104.364396,0.2327,0.0667,0.2289,273.33,0.0
4,16384,103.218775,0.4809,0.0623,0.2580,255.35,0.0
5,20480,103.815151,0.3017,0.1240,0.3288,507.90,0.0
6,24576,103.732993,0.6347,0.1091,0.3267,446.68,0.0
7,28672,102.535395,0.7391,0.1279,0.4144,523.72,0.0
8,32768,104.188578,0.7567,0.1457,0.3865,596.93,0.0
9,36864,103.208841,0.6640,0.0919,0.3169,376.25,0.0
10,40960,102.980239,0.4491,0.1053,0.3214,431.45,0.0
11,45056,102.463632,0.6659,0.0904,0.3082,370.28,0.0
12,49152,103.057299,0.5794,0.1178,0.3497,482.38,0.0
13,53248,102.358371,0.4801,0.1330,0.4043,544.85,0.0
14,57344,103.578218,-0.0061,0.0945,0.3210,387.12,0.0
15,61440,103.218221,0.4353,0.1660,0.4350,679.82,0.0
16,65536,102.793180,0.6450,0.1256,0.3853,514.58,0.0
17,69632,102.524876,0.1323,0.2167,0.4653,887.50,0.0
18,73728,102.442022,1.1318,0.2041,0.4633,835.83,0.0
19,77824,103.243859,0.7380,0.2658,0.5252,1088.72,0.0
20,81920,104.367238,0.5637,0.2735,0.4780,1120.15,0.0
21,86016,104.214207,0.5725,0.2639,0.5678,1080.85,0.0
22,90112,105.400618,1.0063,0.3193,0.5315,1307.70,0.0
23,94208,106.229892,0.8104,0.3245,0.5838,1329.03,0.0
24,98304,103.599804,0.9066,0.3675,0.5698,1505.32,0.0
25,102400,102.499231,1.1139,0.3760,0.5649,1539.90,0.0
26,106496,101.801996,1.4774,0.3465,0.5756,1419.35,0.0
27,110592,103.118513,1.4040,0.3737,0.5564,1530.53,0.0
28,114688,102.132886,1.0471,0.3703,0.5725,1516.60,0.0
29,118784,103.265922,1.4784,0.3843,0.5822,1574.18,0.0
30,122880,102.426439,1.2480,0.3944,0.5528,1615.35,2.75
31,126976,103.692603,1.5414,0.3656,0.5617,1497.55,0.0
32,131072,102.658511,1.1436,0.3484,0.5780,1426.97,0.0
33,135168,102.328184,0.6872,0.3622,0.5791,1483.43,0.0
34,139264,102.726816,0.7275,0.4129,0.5571,1691.25,0.0
35,143360,104.993323,1.2964,0.4131,0.5769,1691.98,0.0
36,147456,104.778205,0.9117,0.4396,0.5590,1800.75,0.0
37,151552,104.281000,1.5173,0.3687,0.5873,1510.23,2.625
38,155648,104.392985,1.1044,0.3837,0.5543,1571.65,0.0
39,159744,103.088285,1.3270,0.3709,0.6058,1519.17,0.0
40,163840,101.946069,0.8067,0.4107,0.5574,1682.18,0.0
41,167936,102.844953,0.5612,0.4203,0.5936,1721.40,0.0
42,172032,107.180076,0.8759,0.3993,0.5555,1635.70,2.625
43,176128,106.481111,1.5775,0.3692,0.5482,1512.27,0.0
44,180224,104.108872,0.9593,0.3215,0.5517,1316.94,2.75
45,184320,102.915454,0.5913,0.3869,0.5760,1584.93,0.0
46,188416,103.165182,1.0557,0.4107,0.5794,1682.10,0.0
47,192512,102.561798,1.0679,0.4040,0.5824,1654.78,0.0
48,196608,105.462416,0.8735,0.3966,0.6099,1624.35,0.0
49,200704,106.176594,1.4514,0.3771,0.6188,1544.45,0.0
50,204800,105.966600,1.1826,0.4608,0.5941,1887.30,0.0
51,208896,105.253821,1.1757,0.4448,0.5863,1821.95,0.0
52,212992,102.888784,1.3197,0.4398,0.5981,1801.62,0.0
53,217088,102.684976,1.5972,0.4481,0.6009,1835.30,0.0
54,221184,102.862324,1.1271,0.4343,0.5825,1778.75,0.0
55,225280,102.836967,1.1627,0.4730,0.5752,1937.52,0.0
56,229376,103.396966,1.4469,0.4556,0.6160,1865.97,0.0
57,233472,103.569964,1.1094,0.4878,0.5587,1997.98,0.0
58,237568,103.557220,0.7952,0.4789,0.5702,1961.78,0.0
59,241664,103.723451,0.8877,0.5109,0.5620,2092.45,0.0
60,245760,102.704175,1.1359,0.4816,0.5822,1972.65,0.0
61,249856,103.149524,1.0453,0.4871,0.5598,1995.27,0.0
62,253952,102.910099,0.8206,0.3814,0.5780,1562.01,2.625
63,258048,102.682212,1.2549,0.4662,0.5605,1909.68,0.0
64,262144,102.936184,1.1137,0.4247,0.5774,1739.70,0.0
65,266240,103.660442,1.0288,0.4227,0.5722,1731.58,0.0
66,270336,103.337844,1.2100,0.4500,0.5858,1843.05,0.0
67,274432,103.199859,0.6432,0.5419,0.5809,2219.53,0.0
68,278528,103.210459,1.5222,0.5096,0.5658,2087.35,0.0
69,282624,103.430069,1.4238,0.4124,0.5462,1689.26,2.75
70,286720,102.030845,0.9854,0.4331,0.5638,1774.00,2.75
71,290816,104.149555,0.4564,0.4498,0.5401,1842.25,0.0
72,294912,104.449363,1.5408,0.4218,0.5743,1727.57,0.0
73,299008,105.122397,0.9235,0.4705,0.5670,1927.18,0.0
74,303104,105.569873,0.8983,0.5400,0.5442,2211.95,0.0
75,307200,102.677418,1.2819,0.4988,0.5661,2042.97,0.0
76,311296,102.672127,0.6347,0.5249,0.5618,2149.97,0.0
77,315392,104.208861,0.8941,0.5359,0.5626,2195.00,0.0
78,319488,102.183240,1.3052,0.4988,0.5671,2042.90,0.0
79,323584,103.790810,1.4584,0.5373,0.5688,2200.62,0.0
80,327680,104.775854,0.7941,0.4805,0.5447,1968.27,0.0
81,331776,102.830824,0.7879,0.5130,0.5415,2101.43,2.75
82,335872,102.158176,1.2141,0.4817,0.5784,1972.97,0.0
83,339968,103.057449,1.0249,0.5520,0.5470,2261.05,0.0
84,344064,107.469977,0.6369,0.5696,0.5507,2332.90,0.0
85,348160,106.687855,0.6937,0.5206,0.5392,2132.50,2.75
86,352256,105.807325,1.2122,0.5032,0.5581,2061.15,0.0
87,356352,103.936605,0.7811,0.5617,0.5375,2300.61,5.375
88,360448,102.552788,0.7866,0.3537,0.4846,1448.61,5.5
89,364544,102.226010,0.4308,0.2767,0.4626,1133.23,2.75
90,368640,101.791834,1.4408,0.3328,0.5103,1363.20,0.0
91,372736,102.076699,1.1620,0.5336,0.5531,2185.49,5.5
92,376832,101.885653,1.0437,0.3570,0.5503,1462.11,2.625
93,380928,102.623344,1.0694,0.5200,0.5628,2129.81,2.75
94,385024,105.845706,0.3910,0.4906,0.5399,2009.39,0.0
95,389120,107.537798,1.0142,0.4231,0.5337,1733.07,2.75
96,393216,106.806097,0.8649,0.4806,0.5332,1968.47,0.0
97,397312,107.219099,0.5825,0.5046,0.5117,2067.02,8.0
98,401408,101.901348,0.9371,0.2400,0.4130,982.88,8.125
99,405504,103.320056,1.2926,0.4558,0.5659,1866.90,1.375
100,409600,102.593184,0.3555,0.5124,0.5238,2098.89,4.125
101,413696,102.617126,1.2403,0.4814,0.5606,1971.97,0.0
102,417792,103.222725,1.0402,0.4840,0.5818,1982.54,2.75
103,421888,103.986479,0.8615,0.4940,0.5399,2023.37,5.5
104,425984,102.142359,0.5413,0.4604,0.5271,1886.00,2.75
105,430080,102.046697,1.2672,0.4069,0.5344,1666.65,2.75
106,434176,102.665424,1.0133,0.4577,0.5374,1874.90,0.0
107,438272,101.855102,1.2362,0.5206,0.5633,2132.35,0.0
108,442368,102.740768,0.8287,0.5365,0.5665,2197.35,0.0
109,446464,106.435972,1.0031,0.4997,0.5388,2046.84,2.75
110,450560,107.792764,1.2232,0.4345,0.5482,1779.82,5.125
111,454656,106.110142,0.8091,0.4685,0.5195,1918.90,2.875
112,458752,107.958153,0.5427,0.3505,0.4707,1435.80,8.25
113,462848,103.132710,0.4517,0.3988,0.5351,1633.40,0.0
114,466944,103.151565,1.4862,0.5366,0.5748,2198.10,0.0
115,471040,103.120630,0.6948,0.5610,0.5415,2297.90,2.625
116,475136,103.272175,0.7525,0.4722,0.5461,1934.24,2.75
117,479232,105.125544,1.0922,0.4893,0.5580,2004.27,2.75
118,483328,107.189917,0.7296,0.5201,0.5337,2130.27,2.75
119,487424,107.076813,1.0670,0.5076,0.5425,2079.07,0.0
120,491520,104.889704,0.8241,0.5438,0.5639,2227.57,0.0
121,495616,103.371613,0.5850,0.5593,0.5297,2290.71,2.75
122,499712,104.227681,0.9350,0.4549,0.5223,1863.41,5.375
123,503808,106.987322,0.3943,0.3662,0.5345,1500.06,2.625
124,507904,106.118005,1.3198,0.4764,0.5563,1951.20,0.0
125,512000,106.489027,1.2247,0.5621,0.5515,2302.50,0.0
126,516096,103.808168,1.0469,0.4943,0.5419,2024.62,0.0
127,520192,101.800534,0.9936,0.4503,0.5706,1844.52,0.0
128,524288,103.087110,1.0150,0.4716,0.5477,1931.70,2.625
129,528384,103.836088,1.2573,0.4673,0.5439,1913.98,2.75
130,532480,106.676158,0.8629,0.4605,0.5318,1886.11,2.625
131,536576,106.142907,1.0490,0.5015,0.5221,2053.95,0.0
132,540672,106.118948,0.9507,0.5632,0.5428,2306.75,2.625
133,544768,102.572522,0.8403,0.4916,0.5428,2013.66,0.0
134,548864,102.264670,0.7233,0.5451,0.5601,2232.83,0.0
135,552960,104.958921,1.4205,0.4812,0.5819,1970.88,0.0
